vente_id;client_id;point_de_vente_id;produit_id;quantites_vendues;prix_vente_unitaire;ventes_euro;date_facturation
1;CLIENT_1;PDV_5;PROD_1;18;60;1080;01/01/2021
2;CLIENT_1;PDV_4;PROD_6;13;128;1664;01/01/2021
3;CLIENT_1;PDV_2;PROD_1;3;25;75;01/01/2021
4;CLIENT_1;PDV_5;PROD_6;41;334;13694;01/01/2021
5;CLIENT_1;PDV_3;PROD_1;30;133;3990;01/01/2021
6;CLIENT_1;PDV_3;PROD_3;30;264;7920;01/01/2021
7;CLIENT_1;PDV_7;PROD_3;8;61;488;01/01/2021
8;CLIENT_1;PDV_6;PROD_4;19;61;1159;01/01/2021
9;CLIENT_1;PDV_5;PROD_5;14;48;672;01/01/2021
10;CLIENT_1;PDV_2;PROD_4;1;124;124;01/01/2021
11;CLIENT_1;PDV_2;PROD_2;40;49;1960;01/01/2021
12;CLIENT_1;PDV_6;PROD_2;43;239;10277;01/01/2021
13;CLIENT_1;PDV_6;PROD_2;24;12;288;01/01/2021
14;CLIENT_1;PDV_4;PROD_2;16;138;2208;01/01/2021
15;CLIENT_1;PDV_5;PROD_3;12;32;384;01/01/2021
16;CLIENT_1;PDV_5;PROD_2;19;169;3211;01/01/2021
17;CLIENT_8;PDV_4;PROD_4;12;325;3900;01/01/2021
18;CLIENT_2;PDV_4;PROD_5;48;61;2928;01/01/2021
19;CLIENT_2;PDV_1;PROD_6;38;234;8892;01/01/2021
20;CLIENT_2;PDV_6;PROD_4;21;197;4137;01/01/2021
21;CLIENT_3;PDV_6;PROD_6;31;222;6882;01/01/2021
22;CLIENT_3;PDV_7;PROD_1;2;155;310;01/01/2021
23;CLIENT_3;PDV_3;PROD_4;48;233;11184;01/01/2021
24;CLIENT_3;PDV_4;PROD_6;41;240;9840;01/01/2021
25;CLIENT_7;PDV_7;PROD_3;46;7;322;01/01/2021
26;CLIENT_1;PDV_7;PROD_5;16;69;1104;01/01/2021
27;CLIENT_1;PDV_5;PROD_4;41;145;5945;01/01/2021
28;CLIENT_1;PDV_2;PROD_1;11;135;1485;01/01/2021
29;CLIENT_1;PDV_6;PROD_1;25;235;5875;01/01/2021
30;CLIENT_1;PDV_2;PROD_1;36;82;2952;01/01/2021
31;CLIENT_1;PDV_4;PROD_5;23;158;3634;01/01/2021
32;CLIENT_3;PDV_4;PROD_2;10;32;320;01/01/2021
33;CLIENT_2;PDV_7;PROD_2;21;85;1785;01/01/2021
34;CLIENT_6;PDV_4;PROD_2;1;41;41;01/01/2021
35;CLIENT_6;PDV_1;PROD_2;4;316;1264;01/01/2021
36;CLIENT_3;PDV_6;PROD_2;3;171;513;01/01/2021
37;CLIENT_1;PDV_1;PROD_3;15;28;420;01/01/2021
38;CLIENT_1;PDV_5;PROD_5;29;201;5829;01/01/2021
39;CLIENT_1;PDV_7;PROD_2;36;226;8136;01/01/2021
40;CLIENT_1;PDV_6;PROD_5;44;205;9020;01/01/2021
41;CLIENT_1;PDV_2;PROD_2;27;66;1782;01/01/2021
42;CLIENT_1;PDV_1;PROD_3;8;105;840;01/01/2021
43;CLIENT_1;PDV_5;PROD_5;46;197;9062;01/01/2021
44;CLIENT_1;PDV_5;PROD_5;41;35;1435;01/01/2021
45;CLIENT_1;PDV_5;PROD_3;49;20;980;01/01/2021
46;CLIENT_1;PDV_5;PROD_5;5;78;390;01/01/2021
47;CLIENT_1;PDV_7;PROD_2;36;216;7776;01/02/2021
48;CLIENT_1;PDV_2;PROD_1;1;218;218;01/02/2021
49;CLIENT_1;PDV_7;PROD_6;29;5;145;01/02/2021
50;CLIENT_1;PDV_2;PROD_2;29;5;145;01/02/2021
51;CLIENT_1;PDV_7;PROD_4;20;128;2560;01/02/2021
52;CLIENT_1;PDV_1;PROD_2;4;29;116;01/02/2021
53;CLIENT_1;PDV_3;PROD_2;43;100;4300;01/02/2021
54;CLIENT_1;PDV_1;PROD_1;34;10;340;01/02/2021
55;CLIENT_1;PDV_3;PROD_4;36;182;6552;01/02/2021
56;CLIENT_1;PDV_3;PROD_6;41;208;8528;01/02/2021
57;CLIENT_1;PDV_2;PROD_6;41;46;1886;01/02/2021
58;CLIENT_1;PDV_3;PROD_5;1;232;232;01/02/2021
59;CLIENT_1;PDV_2;PROD_5;16;11;176;01/02/2021
60;CLIENT_1;PDV_4;PROD_2;42;326;13692;01/02/2021
61;CLIENT_1;PDV_2;PROD_2;36;334;12024;01/02/2021
62;CLIENT_1;PDV_6;PROD_2;5;17;85;01/02/2021
63;CLIENT_8;PDV_2;PROD_5;41;163;6683;01/02/2021
64;CLIENT_2;PDV_4;PROD_3;25;238;5950;01/02/2021
65;CLIENT_2;PDV_3;PROD_4;24;146;3504;01/02/2021
66;CLIENT_3;PDV_2;PROD_3;27;48;1296;01/02/2021
67;CLIENT_3;PDV_6;PROD_4;19;319;6061;01/02/2021
68;CLIENT_3;PDV_6;PROD_3;21;7;147;01/02/2021
69;CLIENT_3;PDV_5;PROD_6;32;227;7264;01/02/2021
70;CLIENT_7;PDV_2;PROD_1;44;82;3608;01/02/2021
71;CLIENT_7;PDV_1;PROD_5;8;87;696;01/02/2021
72;CLIENT_7;PDV_2;PROD_4;34;131;4454;01/02/2021
73;CLIENT_7;PDV_2;PROD_1;16;254;4064;01/02/2021
74;CLIENT_7;PDV_5;PROD_4;38;82;3116;01/02/2021
75;CLIENT_1;PDV_3;PROD_4;12;69;828;01/02/2021
76;CLIENT_1;PDV_5;PROD_6;16;187;2992;01/02/2021
77;CLIENT_1;PDV_6;PROD_4;5;261;1305;01/02/2021
78;CLIENT_1;PDV_5;PROD_4;15;49;735;01/02/2021
79;CLIENT_1;PDV_6;PROD_4;12;191;2292;01/02/2021
80;CLIENT_1;PDV_4;PROD_4;11;87;957;01/02/2021
81;CLIENT_3;PDV_7;PROD_1;41;198;8118;01/02/2021
82;CLIENT_3;PDV_3;PROD_1;35;234;8190;01/02/2021
83;CLIENT_7;PDV_5;PROD_5;5;229;1145;01/03/2021
84;CLIENT_3;PDV_2;PROD_1;17;318;5406;01/03/2021
85;CLIENT_3;PDV_7;PROD_5;40;259;10360;01/03/2021
86;CLIENT_8;PDV_1;PROD_2;9;92;828;01/03/2021
87;CLIENT_3;PDV_4;PROD_2;8;36;288;01/03/2021
88;CLIENT_3;PDV_3;PROD_2;26;235;6110;01/03/2021
89;CLIENT_3;PDV_4;PROD_2;39;82;3198;01/03/2021
90;CLIENT_3;PDV_5;PROD_2;22;123;2706;01/03/2021
91;CLIENT_3;PDV_7;PROD_2;44;319;14036;01/03/2021
92;CLIENT_3;PDV_7;PROD_2;3;111;333;01/03/2021
93;CLIENT_1;PDV_6;PROD_2;41;220;9020;01/03/2021
94;CLIENT_6;PDV_6;PROD_2;43;140;6020;01/03/2021
95;CLIENT_6;PDV_3;PROD_2;4;50;200;01/03/2021
96;CLIENT_6;PDV_1;PROD_2;5;288;1440;01/03/2021
97;CLIENT_6;PDV_3;PROD_2;28;346;9688;01/03/2021
98;CLIENT_3;PDV_4;PROD_2;49;81;3969;01/03/2021
99;CLIENT_3;PDV_7;PROD_2;50;157;7850;01/03/2021
100;CLIENT_1;PDV_3;PROD_2;39;299;11661;01/03/2021
101;CLIENT_1;PDV_7;PROD_2;24;67;1608;01/03/2021
102;CLIENT_1;PDV_3;PROD_2;38;139;5282;01/03/2021
103;CLIENT_1;PDV_1;PROD_2;47;204;9588;01/03/2021
104;CLIENT_1;PDV_2;PROD_2;10;177;1770;01/03/2021
105;CLIENT_1;PDV_5;PROD_1;49;53;2597;01/03/2021
106;CLIENT_1;PDV_7;PROD_1;8;36;288;01/03/2021
107;CLIENT_1;PDV_1;PROD_1;5;113;565;01/03/2021
108;CLIENT_1;PDV_3;PROD_3;27;251;6777;01/03/2021
109;CLIENT_1;PDV_1;PROD_4;37;347;12839;01/03/2021
110;CLIENT_1;PDV_4;PROD_4;19;296;5624;01/03/2021
111;CLIENT_1;PDV_7;PROD_4;32;291;9312;01/03/2021
112;CLIENT_1;PDV_3;PROD_3;22;83;1826;01/03/2021
113;CLIENT_1;PDV_5;PROD_5;11;273;3003;01/03/2021
114;CLIENT_3;PDV_1;PROD_5;28;151;4228;01/03/2021
115;CLIENT_7;PDV_3;PROD_5;48;220;10560;01/03/2021
116;CLIENT_3;PDV_1;PROD_4;6;317;1902;01/03/2021
117;CLIENT_3;PDV_1;PROD_5;5;120;600;01/03/2021
118;CLIENT_1;PDV_4;PROD_2;16;60;960;01/03/2021
